bowler_name,bowler_id,overs,maidens,runs,wides,wickets,no_balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,initial_name,balls,0
Panash Vyas,6251557,5.0,0.0,21.0,0.0,0,0.0,"Northwood Town CC, Middlesex - 4th XI",277347.0,Ley Hill CC - 2nd XI,119465.0,1.0,6804656,P Vyas,30.0,
Dave Gwynn-Costello,6227856,5.0,0.0,21.0,0.0,0,0.0,Ley Hill CC - 2nd XI,119465.0,"Northwood Town CC, Middlesex - 4th XI",277347.0,2.0,6804656,D Gwynn-Costello,30.0,
Geoffrey Sussum,4951380,1.5,0.0,22.0,6.0,0,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Chelsea Nomads CC - 1st XI,196012.0,2.0,7074454,G Sussum,11.0,
Geoffrey Sussum,4951380,2,0.0,22.0,1.0,0,1.0,Ley Hill CC - Sunday 1st XI,216373.0,Chesham Bois CC - Friendly XI,39794.0,2.0,7074453,G Sussum,12.0,
Lewis Thompson,1000955,5.0,0.0,22.0,11.0,0,1.0,Ley Hill CC - 1st XI,54824.0,Flitwick CC - 3rd XI,20669.0,1.0,6803476,L Thompson,30.0,
Dave Gwynn-Costello,6227856,5,0.0,22.0,8.0,0,3.0,Ley Hill CC - 2nd XI,119465.0,Berkhamsted CC - Saturday 4th XI,76555.0,1.0,6804661,D Gwynn-Costello,30.0,
Mohamed nusly Mohamed nijam,6693580,2,0.0,23.0,2.0,0,3.0,West Herts CC - 6th XI,302557.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804671,MnM nijam,12.0,
Callum O'Flynn,6188889,5,1.0,23.0,1.0,0,0.0,Watton-at-Stone CC - 1st XI,159131.0,Ley Hill CC - 1st XI,54824.0,1.0,6803484,C O'Flynn,30.0,
Raheel Khan,5402781,5,0.0,23.0,1.0,0,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Chelsea Nomads CC - 1st XI,196012.0,2.0,7074454,R Khan,30.0,
Sahil X,,2,0.0,24.0,0.0,0,1.0,Chesham Bois CC - Friendly XI,39794.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074453,S X,12.0,
Justin Hutchins,3570739,2,0.0,24.0,1.0,0,0.0,Ley Hill CC - 2nd XI,119465.0,West Herts CC - 6th XI,302557.0,1.0,6804671,J Hutchins,12.0,
R Jefferies,3982327,4,0.0,24.0,0.0,0,0.0,Chelsea Nomads CC - 1st XI,196012.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074454,R Jefferies,24.0,
S Patel,6682067,5,0.0,24.0,1.0,0,0.0,Goodwill Wanderers CC - Friendly XI,192284.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074455,S Patel,30.0,
Deepak Amriwala,6605768,7.0,1.0,24.0,0.0,0,0.0,"Northwood Town CC, Middlesex - 4th XI",277347.0,Ley Hill CC - 2nd XI,119465.0,1.0,6804656,D Amriwala,42.0,
Ross Davies,6439833,2,0.0,27.0,2.0,0,0.0,Ley Hill CC - 2nd XI,119465.0,West Herts CC - 6th XI,302557.0,1.0,6804671,R Davies,12.0,
Justin X,,2,0.0,28.0,2.0,0,0.0,Chesham Bois CC - Friendly XI,39794.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074453,J X,12.0,
Abhay Joshi,5480463,5.0,0.0,28.0,0.0,0,0.0,"Northwood Town CC, Middlesex - 4th XI",277347.0,Ley Hill CC - 2nd XI,119465.0,1.0,6804656,A Joshi,30.0,
Freddie Ventham,5552337,3,0.0,29.0,9.0,0,5.0,Ley Hill CC - Sunday 1st XI,216373.0,Chesham Bois CC - Friendly XI,39794.0,2.0,7074453,F Ventham,18.0,
- Dar,6660034,4,0.0,29.0,4.0,0,3.0,Goodwill Wanderers CC - Friendly XI,192284.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074455,- Dar,24.0,
Kabir Rab,4943870,8,1.0,31.0,0.0,0,0.0,Ley Hill CC - 2nd XI,119465.0,Harpenden CC - 6th XI,116317.0,1.0,6804665,K Rab,48.0,
Ollie Ellis-Holmes,5924554,5,0.0,33.0,3.0,0,0.0,Ickleford CC - 2nd XI,58647.0,Ley Hill CC - 1st XI,54824.0,1.0,6803474,O Ellis-Holmes,30.0,
H Patel,6682061,2,0.0,36.0,2.0,0,2.0,Goodwill Wanderers CC - Friendly XI,192284.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074455,H Patel,12.0,
Geoffrey Sussum,4951380,8.0,1.0,36.0,0.0,0,0.0,Ley Hill CC - 2nd XI,119465.0,"Northwood Town CC, Middlesex - 4th XI",277347.0,2.0,6804656,G Sussum,48.0,
